scientific_name,common_name,common_name_avibase8.17,scientific_name_avibase8.17,status_avibase8.17,order_avibase8.17,family_avibase8.17,region_avibase8.17,in_avibase8.17,AOU_bbs2024,common_name_bbs2024,order_bbs2024,family_bbs2024,scientific_name_bbs2024,in_bbs2024,common_name_clements2024,scientific_name_clements2024,region_clements2024,family_clements2024,order_clements2024,in_clements2024,scientific_name_orig,common_name_orig,region_origlist,order_origlist,family_origlist,origlist_dataentry_origlist,in_origlist,L1_ca.conus.data
Plegadis falcinellus/chihi,Glossy/White-faced Ibis; unid. Glossy Ibis/White-faced Ibis,NA,NA,NA,NA,NA,NA,no,1861,unid. Glossy Ibis / White-faced Ibis,Pelecaniformes,Threskiornithidae,Plegadis falcinellus / chihi,yes,Glossy/White-faced Ibis,Plegadis falcinellus/chihi,NA,Threskiornithidae (Ibises and Spoonbills),Pelecaniformes,yes,Plegadis falcinellus / chihi,unid. Glossy Ibis / White-faced Ibis,CONUS & Canada,Pelecaniformes,Threskiornithidae,N/A; unidentified species,yes,yes
Poecile atricapillus/gambeli,Black-capped/Mountain Chickadee; unid. Black-capped Chickadee/Mountain Chickadee,NA,NA,NA,NA,NA,NA,no,7353,unid. Black-capped Chickadee / Mountain Chickadee,Passeriformes,Paridae,Poecile atricapillus / gambeli,yes,Black-capped/Mountain Chickadee,Poecile atricapillus/gambeli,NA,"Paridae (Tits, Chickadees, and Titmice)",Passeriformes,yes,Poecile atricapillus / gambeli,unid. Black-capped Chickadee / Mountain Chickadee,CONUS & Canada,Passeriformes,Paridae,N/A; unidentified species,yes,yes
Poecile carolinensis/atricapillus,Carolina/Black-capped Chickadee; unid. Carolina Chickadee/Black-capped Chickadee,NA,NA,NA,NA,NA,NA,no,7352,unid. Carolina Chickadee / Black-capped Chickadee,Passeriformes,Paridae,Poecile carolinensis / atricapillus,yes,Carolina/Black-capped Chickadee,Poecile carolinensis/atricapillus,NA,"Paridae (Tits, Chickadees, and Titmice)",Passeriformes,yes,Poecile carolinensis / atricapillus,unid. Carolina Chickadee / Black-capped Chickadee,CONUS & Canada,Passeriformes,Paridae,N/A; unidentified species,yes,yes
Poecile sp.,chickadee sp.; unid. western chickadee species,NA,NA,NA,NA,NA,NA,no,7351,unid. western chickadee species,Passeriformes,Paridae,Poecile sp.,yes,chickadee sp.,Poecile sp.,NA,"Paridae (Tits, Chickadees, and Titmice)",Passeriformes,yes,Poecile sp.,unid. western chickadee species,CONUS & Canada,Passeriformes,Paridae,N/A; unidentified species,yes,yes
Psittacara erythrogenys,Red-masked Parakeet,Red-masked Parakeet,Psittacara erythrogenys,Introduced species Near-threatened,PSITTACIFORMES,Psittacidae,CAR; hol; NAM; nea; pal; SAM; US48; UShi,yes,NA,NA,NA,NA,NA,no,Red-masked Parakeet,Psittacara erythrogenys,arid littoral of western Ecuador and northwestern Peru,Psittacidae (New World and African Parrots),Psittaciformes,yes,NA,NA,NA,NA,NA,NA,no,yes
Psittacara mitratus,Mitred Parakeet,Mitred Parakeet,Psittacara mitratus,Introduced species,PSITTACIFORMES,Psittacidae,hol; NAM; nea; SAM; US48; UShi,yes,NA,NA,NA,NA,NA,no,Mitred Parakeet,Psittacara mitratus,NA,Psittacidae (New World and African Parrots),Psittaciformes,yes,NA,NA,NA,NA,NA,NA,no,yes
Pterodroma hasitata,Black-capped Petrel,Black-capped Petrel,Pterodroma hasitata,Endangered,PROCELLARIIFORMES,Procellariidae,AFR; CA; CAM; CAR; EUR; hol; NAM; nan; nea; OCE; PAC; pal; SAM; US48; XX,yes,NA,NA,NA,NA,NA,no,Black-capped Petrel,Pterodroma hasitata,NA,Procellariidae (Shearwaters and Petrels),Procellariiformes,yes,NA,NA,NA,NA,NA,NA,no,yes
Pycnonotus cafer,Red-vented Bulbul,Red-vented Bulbul,Pycnonotus cafer,Introduced species,PASSERIFORMES,Pycnonotidae,ASI; AUS; hol; MID; NAM; nea; OCE; PAC; pal; US48; UShi,yes,NA,NA,NA,NA,NA,no,Red-vented Bulbul,Pycnonotus cafer,NA,Pycnonotidae (Bulbuls),Passeriformes,yes,NA,NA,NA,NA,NA,NA,no,yes
Pycnonotus jocosus,Red-whiskered Bulbul,Red-whiskered Bulbul,Pycnonotus jocosus,Introduced species,PASSERIFORMES,Pycnonotidae,AFR; ASI; AUS; hol; MID; NAM; OCE; PAC; pal; US48; UShi,yes,NA,NA,NA,NA,NA,no,Red-whiskered Bulbul,Pycnonotus jocosus,NA,Pycnonotidae (Bulbuls),Passeriformes,yes,NA,NA,NA,NA,NA,NA,no,yes
Quiscalus major/mexicanus,Boat-tailed/Great-tailed Grackle; unid. Boat-tailed Grackle/Great-tailed Grackle,NA,NA,NA,NA,NA,NA,no,5135,unid. Boat-tailed Grackle / Great-tailed Grackle,Passeriformes,Icteridae,Quiscalus major / mexicanus,yes,Boat-tailed/Great-tailed Grackle,Quiscalus major/mexicanus,NA,Icteridae (Troupials and Allies),Passeriformes,yes,Quiscalus major / mexicanus,unid. Boat-tailed Grackle / Great-tailed Grackle,CONUS & Canada,Passeriformes,Icteridae,N/A; unidentified species,yes,yes
Rallus elegans/crepitans; Rallus crepitans/elegans,King/Clapper Rail; unid. Clapper/King Rail,NA,NA,NA,NA,NA,NA,no,2090,unid. Clapper / King Rail,Gruiformes,Rallidae,Rallus crepitans / elegans,yes,King/Clapper Rail,Rallus elegans/crepitans,NA,"Rallidae (Rails, Gallinules, and Coots)",Gruiformes,yes,Rallus crepitans / elegans,unid. Clapper / King Rail,CONUS & Canada,Gruiformes,Rallidae,N/A; unidentified species,yes,yes
Selasphorus rufus/sasin,Rufous/Allen's Hummingbird; unid. Rufous Hummingbird/Allen's Hummingbird,NA,NA,NA,NA,NA,NA,no,4335,unid. Rufous Hummingbird / Allen's Hummingbird,Apodiformes,Trochilidae,Selasphorus rufus / sasin,yes,Rufous/Allen's Hummingbird,Selasphorus rufus/sasin,NA,Trochilidae (Hummingbirds),Apodiformes,yes,Selasphorus rufus / sasin,unid. Rufous Hummingbird / Allen's Hummingbird,CONUS & Canada,Apodiformes,Trochilidae,N/A; unidentified species,yes,yes
Setophaga townsendi x occidentalis,Townsend's x Hermit Warbler (hybrid); hybrid Townsend's Warbler x Hermit Warbler,NA,NA,NA,NA,NA,NA,no,6686,hybrid Townsend's Warbler x Hermit Warbler,Passeriformes,Parulidae,Setophaga townsendi x occidentalis,yes,Townsend's x Hermit Warbler (hybrid),Setophaga townsendi x occidentalis,NA,Parulidae (New World Warblers),Passeriformes,yes,Setophaga townsendi x occidentalis,hybrid Townsend's Warbler x Hermit Warbler,CONUS & Canada,Passeriformes,Parulidae,N/A; hybrid species,yes,yes
Setophaga townsendi/occidentalis,Townsend's/Hermit Warbler; unid. Townsend's Warbler/Hermit Warbler,NA,NA,NA,NA,NA,NA,no,6685,unid. Townsend's Warbler / Hermit Warbler,Passeriformes,Parulidae,Setophaga townsendi / occidentalis,yes,Townsend's/Hermit Warbler,Setophaga townsendi/occidentalis,NA,Parulidae (New World Warblers),Passeriformes,yes,Setophaga townsendi / occidentalis,unid. Townsend's Warbler / Hermit Warbler,CONUS & Canada,Passeriformes,Parulidae,N/A; unidentified species,yes,yes
Sphyrapicus sp.,sapsucker sp.; unid. sapsucker,NA,NA,NA,NA,NA,NA,no,4022,unid. sapsucker,Piciformes,Picidae,Sphyrapicus sp.,yes,sapsucker sp.,Sphyrapicus sp.,NA,Picidae (Woodpeckers),Piciformes,yes,Sphyrapicus sp.,unid. sapsucker,CONUS & Canada,Piciformes,Picidae,NA; no interactions from BOW bc incorporated into species above,yes,yes
Spinus spinus,Eurasian Siskin,Eurasian Siskin,Spinus spinus,Uncertain origin,PASSERIFORMES,Fringillidae,AFR; ASI; CA; EUR; hol; MID; NAM; nea; pal; US48; USak,yes,NA,NA,NA,NA,NA,no,Eurasian Siskin,Spinus spinus,"northern Palearctic; winters Mediterranean region, China, and Ryukyu Islands (southern Japan)","Fringillidae (Finches, Euphonias, and Allies)",Passeriformes,yes,NA,NA,NA,NA,NA,NA,no,yes
Spodiopsar cineraceus,White-cheeked Starling,White-cheeked Starling,Spodiopsar cineraceus,Uncertain origin,PASSERIFORMES,Sturnidae,ASI; CA; hol; NAM; nea; OCE; PAC; pal; USak,yes,NA,NA,NA,NA,NA,no,White-cheeked Starling,Spodiopsar cineraceus,northeastern Asia; winters in southern China and Philippines,Sturnidae (Starlings),Passeriformes,yes,NA,NA,NA,NA,NA,NA,no,yes
Sporophila bouvronides,Lesson's Seedeater,Lesson's Seedeater,Sporophila bouvronides,Uncertain origin,PASSERIFORMES,Thraupidae,CA; CAM; hol; NAM; nan; nea; SAM; TT,yes,NA,NA,NA,NA,NA,no,Lesson's Seedeater,Sporophila bouvronides,NA,Thraupidae (Tanagers and Allies),Passeriformes,yes,NA,NA,NA,NA,NA,NA,no,yes
Sporophila torqueola,Cinnamon-rumped Seedeater,Cinnamon-rumped Seedeater,Sporophila torqueola,Introduced species,PASSERIFORMES,Thraupidae,CAM; hol; NAM; nea; US48,yes,NA,NA,NA,NA,NA,no,Cinnamon-rumped Seedeater,Sporophila torqueola,NA,Thraupidae (Tanagers and Allies),Passeriformes,yes,Sporophila torqueola,Cinnamon-rumped Seedeater,Mexico,Passeriformes,Thraupidae,NA,yes,yes
Sterninae sp.; Tern sp.,tern sp.; unid. tern,NA,NA,NA,NA,NA,NA,no,634,unid. tern,Charadriiformes,Laridae,Tern sp.,yes,tern sp.,Sterninae sp.,NA,"Laridae (Gulls, Terns, and Skimmers)",Charadriiformes,yes,Tern sp.,unid. tern,CONUS & Canada,Charadriiformes,Laridae,N/A; unidentified species,yes,yes
Sturnella sp.,Sturnella meadowlark sp.; unid. Meadowlark,NA,NA,NA,NA,NA,NA,no,5012,unid. Meadowlark,Passeriformes,Icteridae,Sturnella sp.,yes,Sturnella meadowlark sp.,Sturnella sp.,NA,Icteridae (Troupials and Allies),Passeriformes,yes,Sturnella sp.,unid. Meadowlark,CONUS & Canada,Passeriformes,Icteridae,NA,yes,yes
Synthliboramphus scrippsi,Scripps's Murrelet,Scripps's Murrelet,Synthliboramphus scrippsi,Vulnerable,CHARADRIIFORMES,Alcidae,CA; CAM; hol; NAM; nea; US48; USak,yes,NA,NA,NA,NA,NA,no,Scripps's Murrelet,Synthliboramphus scrippsi,Channel Islands and islands off western coast of Baja California,"Alcidae (Auks, Murres, and Puffins)",Charadriiformes,yes,Synthliboramphus scrippsi,Scripps's Murrelet,Mexico,Charadriiformes,Alcidae,NA,yes,yes
Tadorna ferruginea,Ruddy Shelduck,Ruddy Shelduck,Tadorna ferruginea,Uncertain origin,ANSERIFORMES,Anatidae,AFR; ASI; CA; EUR; hol; MID; NAM; nea; pal,yes,NA,NA,NA,NA,NA,no,Ruddy Shelduck,Tadorna ferruginea,"breeds Iberian Peninsula and Mediterranean northern Africa eastward through southern Russia to eastern China and in the south through Türkiye to Tibetan Plateau including Ladakh; winters to Ethiopia, southern India, and southeastern Asia; introduced in central Europe and the Canary Islands, and appears frequently elsewhere","Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,yes,NA,NA,NA,NA,NA,NA,no,yes
Threskiornis aethiopicus,African Sacred Ibis,African Sacred Ibis,Threskiornis aethiopicus,Introduced species,PELECANIFORMES,Threskiornithidae,AFR; ASI; AUS; EUR; hol; MID; NAM; nea; OCE; pal; US48,yes,NA,NA,NA,NA,NA,no,African Sacred Ibis,Threskiornis aethiopicus,sub-Saharan Africa and southeastern Iraq; formerly Egypt,Threskiornithidae (Ibises and Spoonbills),Pelecaniformes,yes,NA,NA,NA,NA,NA,NA,no,yes
Toxostoma cinereum,Gray Thrasher,Gray Thrasher,Toxostoma cinereum,Uncertain origin,PASSERIFORMES,Mimidae,CAM; hol; NAM; nea; US48,yes,NA,NA,NA,NA,NA,no,Gray Thrasher,Toxostoma cinereum,NA,Mimidae (Mockingbirds and Thrashers),Passeriformes,yes,Toxostoma cinereum,Gray Thrasher,Mexico,Passeriformes,Mimidae,NA,yes,yes
Tringa flavipes/melanoleuca; Tringa melanoleuca/flavipes,Lesser/Greater Yellowlegs; unid. Greater Yellowlegs/Lesser Yellowlegs,NA,NA,NA,NA,NA,NA,no,2555,unid. Greater Yellowlegs / Lesser Yellowlegs,Charadriiformes,Scolopacidae,Tringa melanoleuca / flavipes,yes,Lesser/Greater Yellowlegs,Tringa flavipes/melanoleuca,NA,Scolopacidae (Sandpipers and Allies),Charadriiformes,yes,Tringa melanoleuca / flavipes,unid. Greater Yellowlegs / Lesser Yellowlegs,CONUS & Canada,Charadriiformes,Scolopacidae,N/A; unidentified species,yes,yes
Trochilidae sp.; Trochilid sp.,hummingbird sp.; unid. hummingbird,NA,NA,NA,NA,NA,NA,no,4402,unid. hummingbird,Apodiformes,Trochilidae,Trochilid sp.,yes,hummingbird sp.,Trochilidae sp.,NA,Trochilidae (Hummingbirds),Apodiformes,yes,Trochilid sp.,unid. hummingbird,CONUS & Canada,Apodiformes,Trochilidae,N/A; unidentified species,yes,yes
Troglodytes pacificus/hiemalis,Pacific/Winter Wren; unid. Pacific Wren/Winter Wren,NA,NA,NA,NA,NA,NA,no,7220,unid. Pacific Wren / Winter Wren,Passeriformes,Troglodytidae,Troglodytes pacificus / hiemalis,yes,Pacific/Winter Wren,Troglodytes pacificus/hiemalis,NA,Troglodytidae (Wrens),Passeriformes,yes,Troglodytes pacificus / hiemalis,unid. Pacific Wren / Winter Wren,CONUS & Canada,Passeriformes,Troglodytidae,N/A; unidentified species,yes,yes
Turdus eunomus,Dusky Thrush,Dusky Thrush,Turdus eunomus,Rare/Accidental,PASSERIFORMES,Turdidae,ASI; CA; EUR; hol; MID; NAM; nea; OCE; PAC; pal; US48; USak,yes,7614,Dusky Thrush,Passeriformes,Turdidae,Turdus eunomus,yes,Dusky Thrush,Turdus eunomus,"northern Siberia to Kamchatka; winters to Japan, southern China, and Myanmar",Turdidae (Thrushes and Allies),Passeriformes,yes,NA,NA,NA,NA,NA,NA,no,yes
Tyrannus melancholicus/couchii,Tropical/Couch's Kingbird; unid. Tropical Kingbird/Couch's Kingbird,NA,NA,NA,NA,NA,NA,no,4462,unid. Tropical Kingbird / Couch's Kingbird,Passeriformes,Tyrannidae,Tyrannus melancholicus / couchii,yes,Tropical/Couch's Kingbird,Tyrannus melancholicus/couchii,NA,Tyrannidae (Tyrant Flycatchers),Passeriformes,yes,Tyrannus melancholicus / couchii,unid. Tropical Kingbird / Couch's Kingbird,CONUS & Canada,Passeriformes,Tyrannidae,N/A; unidentified species,yes,yes
Tyrannus vociferans/verticalis,Cassin's/Western Kingbird; unid. Cassin's Kingbird/Western Kingbird,NA,NA,NA,NA,NA,NA,no,4447,unid. Cassin's Kingbird / Western Kingbird,Passeriformes,Tyrannidae,Tyrannus vociferans / verticalis,yes,Cassin's/Western Kingbird,Tyrannus vociferans/verticalis,NA,Tyrannidae (Tyrant Flycatchers),Passeriformes,yes,Tyrannus vociferans / verticalis,unid. Cassin's Kingbird / Western Kingbird,CONUS & Canada,Passeriformes,Tyrannidae,N/A; unidentified species,yes,yes
Uria lomvia/aalge; Uria aalge/lomvia,Thick-billed/Common Murre; unid. Common Murre/Thick-billed Murre,NA,NA,NA,NA,NA,NA,no,315,unid. Common Murre / Thick-billed Murre,Charadriiformes,Laridae,Uria aalge / lomvia,yes,Thick-billed/Common Murre,Uria lomvia/aalge,NA,"Alcidae (Auks, Murres, and Puffins)",Charadriiformes,yes,Uria aalge / lomvia,unid. Common Murre / Thick-billed Murre,CONUS & Canada,Charadriiformes,Laridae,N/A; unidentified species,yes,yes
Vermivora chrysoptera x cyanoptera,Golden-winged x Blue-winged Warbler (hybrid); Lawrence's Warbler (Golden-winged x Blue-winged),NA,NA,NA,NA,NA,NA,no,6413,Lawrence's Warbler (Golden-winged x Blue-winged),Passeriformes,Parulidae,Vermivora chrysoptera x cyanoptera,yes,Golden-winged x Blue-winged Warbler (hybrid),Vermivora chrysoptera x cyanoptera,NA,Parulidae (New World Warblers),Passeriformes,yes,Vermivora chrysoptera x cyanoptera,Lawrence's Warbler (Golden-winged x Blue-winged),CONUS & Canada,Passeriformes,Parulidae,N/A; hybrid species,yes,yes
Vermivora chrysoptera x cyanoptera (F1 hybrid); Vermivora cyanoptera x chrysoptera,Brewster's Warbler (hybrid); Brewster's Warbler (Golden-winged x Blue-winged),NA,NA,NA,NA,NA,NA,no,6412,Brewster's Warbler (Golden-winged x Blue-winged),Passeriformes,Parulidae,Vermivora cyanoptera x chrysoptera,yes,Brewster's Warbler (hybrid),Vermivora chrysoptera x cyanoptera (F1 hybrid),NA,Parulidae (New World Warblers),Passeriformes,yes,Vermivora cyanoptera x chrysoptera,Brewster's Warbler (Golden-winged x Blue-winged),CONUS & Canada,Passeriformes,Parulidae,N/A; hybrid species,yes,yes
Vireo cassinii/plumbeus; Vireo plumbeus/cassinii,Cassin's/Plumbeous Vireo; unid. Plumbeous Vireo/Cassin's Vireo,NA,NA,NA,NA,NA,NA,no,6296,unid. Plumbeous Vireo / Cassin's Vireo,Passeriformes,Vireonidae,Vireo plumbeus / cassinii,yes,Cassin's/Plumbeous Vireo,Vireo cassinii/plumbeus,NA,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)",Passeriformes,yes,Vireo plumbeus / cassinii,unid. Plumbeous Vireo / Cassin's Vireo,CONUS & Canada,Passeriformes,Vireonidae,N/A; unidentified species,yes,yes
Vireo cassinii/solitarius,Cassin's/Blue-headed Vireo; unid. Cassin's Vireo/Blue-headed Vireo,NA,NA,NA,NA,NA,NA,no,6295,unid. Cassin's Vireo / Blue-headed Vireo,Passeriformes,Vireonidae,Vireo cassinii / solitarius,yes,Cassin's/Blue-headed Vireo,Vireo cassinii/solitarius,NA,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)",Passeriformes,yes,Vireo cassinii / solitarius,unid. Cassin's Vireo / Blue-headed Vireo,CONUS & Canada,Passeriformes,Vireonidae,N/A; unidentified species,yes,yes
Zosterops japonicus,Warbling White-eye,Warbling White-eye,Zosterops japonicus,Introduced species,PASSERIFORMES,Zosteropidae,ASI; hol; NAM; nea; US48; UShi,yes,NA,NA,NA,NA,NA,no,Warbling White-eye,Zosterops japonicus,NA,"Zosteropidae (White-eyes, Yuhinas, and Allies)",Passeriformes,yes,NA,NA,NA,NA,NA,NA,no,yes
Corvus cryptoleucus/corax,unid. Chihuahuan Raven/Common Raven,NA,NA,NA,NA,NA,NA,no,4865,unid. Chihuahuan Raven / Common Raven,Passeriformes,Corvidae,Corvus cryptoleucus / corax,yes,NA,NA,NA,NA,NA,no,Corvus cryptoleucus / corax,unid. Chihuahuan Raven / Common Raven,CONUS & Canada,Passeriformes,Corvidae,N/A; unidentified species,yes,yes
Loxia curvirostra/leucoptera,unid. Red Crossbill/White-winged Crossbill,NA,NA,NA,NA,NA,NA,no,5225,unid. Red Crossbill / White-winged Crossbill,Passeriformes,Fringillidae,Loxia curvirostra / leucoptera,yes,NA,NA,NA,NA,NA,no,Loxia curvirostra / leucoptera,unid. Red Crossbill / White-winged Crossbill,CONUS & Canada,Passeriformes,Fringillidae,N/A; unidentified species,yes,yes
Nannopterum auritus/carbo,unid. Double-crested Cormorant/Great Cormorant,NA,NA,NA,NA,NA,NA,no,1206,unid. Double-crested Cormorant / Great Cormorant,Suliformes,Phalacrocoracidae,Nannopterum auritus / carbo,yes,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,no,yes
Poecile atricapillus/hudsonicus,unid. Black-capped Chickadee/Boreal Chickadee,NA,NA,NA,NA,NA,NA,no,7354,unid. Black-capped Chickadee / Boreal Chickadee,Passeriformes,Paridae,Poecile atricapillus / hudsonicus,yes,NA,NA,NA,NA,NA,no,Poecile atricapillus / hudsonicus,unid. Black-capped Chickadee / Boreal Chickadee,CONUS & Canada,Passeriformes,Paridae,N/A; unidentified species,yes,yes
Polioptila caerulea/melanura,unid. Blue-gray/Black-tailed Gnatcatcher,NA,NA,NA,NA,NA,NA,no,7539,unid. Blue-gray / Black-tailed Gnatcatcher,Passeriformes,Polioptilidae,Polioptila caerulea / melanura,yes,NA,NA,NA,NA,NA,no,Polioptila caerulea / melanura,unid. Blue-gray / Black-tailed Gnatcatcher,CONUS & Canada,Passeriformes,Polioptilidae,N/A; unidentified species,yes,yes
Urile sp.,unid. west coast cormorant,NA,NA,NA,NA,NA,NA,no,1207,unid. west coast cormorant,Suliformes,Phalacrocoracidae,Urile sp.,yes,NA,NA,NA,NA,NA,no,Urile sp.,unid. west coast cormorant,CONUS & Canada,Suliformes,Phalacrocoracidae,N/A; unidentified species,yes,yes
