"scientific_name.raw","common_name.raw","scientific_name.edit","common_name.edit","edit_notes","row_number","comments"
"Acanthis hornemanni","Hoary Redpoll","Acanthis hornemanni","Hoary Redpoll",NA,2," common name match:  Hoary-throated Spinetail 0.75 Synallaxis kollari ; scientific name match:  Acanthis flammea hornemanni 0.84 ;"
"Accipiter gentilis","Northern Goshawk","Accipiter gentilis","Northern Goshawk",NA,4," common name match:  Northern Shrike 0.85 Lanius borealis ; scientific name match:  Accipiter nisus 0.86 ;"
"Accipiter gentilis","Goshawk","Accipiter gentilis","Goshawk",NA,5," common name match:  Red Goshawk 0.88 Erythrotriorchis radiatus ; scientific name match:  Accipiter nisus 0.86 ;"
"Aphelocoma woodhouseii suttoni","Woodhouse's Scrub-Jay (Suttoni)","Aphelocoma woodhouseii suttoni","Woodhouse's Scrub-Jay (Suttoni)",NA,122," common name match:  Woodhouse's Scrub-Jay 0.89 Aphelocoma woodhouseii ; scientific name match:  Aphelocoma woodhouseii cyanotis 0.92 ;"
"Branta leucopsis x anser indicus","Hybrid Barnacle X Bar-Headed Goose","Branta leucopsis x anser indicus","Hybrid Barnacle X Bar-Headed Goose",NA,196," common name match:  Hoary-headed Grebe 0.69 Poliocephalus poliocephalus ; scientific name match:  Branta leucopsis x canadensis 0.91 ;"
"Cacomantis variolosus sepulcralis","Brush Cuckoo","Cacomantis variolosus sepulcralis","Brush Cuckoo",NA,238," common name match:  Barusan Cuckoo-Dove 0.83 Macropygia modiglianii ; scientific name match:  Cacomantis variolosus obscuratus 0.9 ;"
"Chrysococcyx lucidus plagosus","Golden Bronze-Cuckoo","Chrysococcyx lucidus plagosus","Golden Bronze-Cuckoo",NA,364," common name match:  Horsfield's Bronze-Cuckoo 0.82 Chalcites basalis ; scientific name match:  Chrysococcyx caprius 0.82 ;"
"Chrysococcyx lucidus layardi","New Caledonian Bronze-Cuckoo","Chrysococcyx lucidus layardi","New Caledonian Bronze-Cuckoo",NA,367," common name match:  New Caledonian Crow 0.84 Corvus moneduloides ; scientific name match:  Chrysococcyx flavigularis 0.85 ;"
"Chrysococcyx minutillus poecilurus","Gould's Bronze-Cuckoo","Chrysococcyx minutillus poecilurus","Gould's Bronze-Cuckoo",NA,373," common name match:  Bornean Ground-Cuckoo 0.79 Carpococcyx radiceus ; scientific name match:  Chrysococcyx cupreus insularum 0.86 ;"
"Chrysococcyx minutillus rufomerus","Banda Bronze-Cuckoo","Chrysococcyx minutillus rufomerus","Banda Bronze-Cuckoo",NA,374," common name match:  Pied Bronze-Cuckoo 0.81 Chalcites crassirostris ; scientific name match:  Chrysococcyx cupreus insularum 0.83 ;"
"Chrysococcyx minutillus rufomerus","Gould's Bronze-Cuckoo","Chrysococcyx minutillus rufomerus","Gould's Bronze-Cuckoo",NA,375," common name match:  Bornean Ground-Cuckoo 0.79 Carpococcyx radiceus ; scientific name match:  Chrysococcyx cupreus insularum 0.83 ;"
"Chrysococcyx minutillus russatus","Gould's Bronze-Cuckoo","Chrysococcyx minutillus russatus","Gould's Bronze-Cuckoo",NA,376," common name match:  Bornean Ground-Cuckoo 0.79 Carpococcyx radiceus ; scientific name match:  Chrysococcyx cupreus insularum 0.82 ;"
"Empidonax occidentalis","Western Flycater (Occidentalis/Hellmayri Group)","Empidonax occidentalis","Western Flycater (Occidentalis/Hellmayri Group)",NA,523," common name match:  Western Flycatcher 0.76 Empidonax difficilis ; scientific name match:  Empidonax flaviventris 0.82 ;"
"Argya affinis somervillei","Black-Winged Babbler","Argya affinis somervillei","Black-Winged Babbler",NA,621," common name match:  Black-chinned Babbler 0.92 Cyanoderma pyrrhops ; scientific name match:  Argya affinis 0.84 ;"
"Larus argentatus vegae","Herring Gull (Vega)","Larus argentatus vegae","Herring Gull (Vega)",NA,739," common name match:  Kelp Gull (vetula) 0.72 Larus dominicanus vetula ; scientific name match:  Larus argentatus 0.91 ;"
"Passerella iliaca [iliaca group]","Red Fox Sparrow","Passerella iliaca [iliaca group]","Red Fox Sparrow",NA,973," common name match:  Fox Sparrow 0.85 Passerella iliaca ; scientific name match:  Passerella iliaca iliaca 0.92 ;"
"Bubulcus ibis","Cattle Egret","Bubulcus ibis","Cattle Egret",NA,1054," common name match:  Little Egret 0.86 Egretta garzetta ; scientific name match:  Lanius nubicus 0.74 ;"
"Corvus caurinus","Northwestern Crow","Corvus caurinus","Northwestern Crow",NA,1331," common name match:  Worthen's Sparrow 0.78 Spizella wortheni ; scientific name match:  Corvus nasicus 0.88 ;"
"Accipiter melanoleucus","Black Sparrowhawk","Accipiter melanoleucus","Black Sparrowhawk",NA,1401," common name match:  Levant Sparrowhawk 0.87 Tachyspiza brevipes ; scientific name match:  Spizaetus melanoleucus 0.84 ;"
"Anas platyrhynchos domesticus","Domestic Duck","Anas platyrhynchos domesticus","Domestic Duck",NA,1402," common name match:  Mexican Duck 0.81 Anas diazi ; scientific name match:  Anas platyrhynchos (Domestic type) 0.91 ;"
"Anas superciliosa rogersi","Australian Black Duck","Anas superciliosa rogersi","Australian Black Duck",NA,1450," common name match:  Australian Shelduck 0.83 Tadorna tadornoides ; scientific name match:  Anas superciliosa 0.89 ;"
"Branta canadensis/hutchinsii","Unid. Canada Goose /Cackling Goose","Branta canadensis/hutchinsii","Unid. Canada Goose /Cackling Goose",NA,1499," common name match:  Canada Goose 0.7 Branta canadensis ; scientific name match:  Branta hutchinsii/canadensis 0.92 ;"
"Branta canadensis minima","Cackling Canada Goose","Branta canadensis minima","Cackling Canada Goose",NA,1508," common name match:  Cackling/Canada Goose 0.91 Branta hutchinsii/canadensis ; scientific name match:  Branta canadensis maxima 0.92 ;"
"Chen rossii","Ross' Goose","Chen rossii","Ross' Goose",NA,1536," common name match:  Ross's Goose 0.91 Anser rossii ; scientific name match:  Machetornis rixosa 0.78 ;"
"Colaptes cafer","Red-Shafted Flicker","Colaptes cafer","Red-Shafted Flicker",NA,1538," common name match:  Red-tailed Shrike 0.83 Lanius phoenicuroides ; scientific name match:  Colaptes campestris 0.87 ;"
"Circus dossenus","Wood Harrier","Circus dossenus","Wood Harrier",NA,1690," common name match:  Pied Harrier 0.83 Circus melanoleucos ; scientific name match:  Circus hudsonius 0.84 ;"
"Tyto alba furcata","Barn Owl (White-Winged)","Tyto alba furcata","Barn Owl (White-Winged)",NA,1702," common name match:  Barn Swallow (White-bellied) 0.78 Hirundo rustica rustica ; scientific name match:  Tyto alba guttata 0.86 ;"
"Gallus gallus domesticus","Domesticated Chicken","Gallus gallus domesticus","Domesticated Chicken",NA,1711," common name match:  Mexican Chickadee 0.75 Poecile sclateri ; scientific name match:  Gallus gallus (Domestic type) 0.89 ;"
"Gallus domesticus","Domestic Chicken","Gallus domesticus","Domestic Chicken",NA,1726," common name match:  Mexican Chickadee 0.78 Poecile sclateri ; scientific name match:  Gallirallus modestus 0.81 ;"
"Pterocnemia pennata","Rhea","Pterocnemia pennata","Rhea",NA,2078," common name match:  Rheas 0.93 Rheidae ; scientific name match:  Pterodroma inexpectata 0.78 ;"
"Carduelis carduelis paropanisi","Eastern European Goldfinch","Carduelis carduelis paropanisi","Eastern European Goldfinch",NA,2090," common name match:  European Greenfinch 0.8 Chloris chloris ; scientific name match:  Carduelis carduelis parva 0.92 ;"
"Carduelis carduelis subulata","Eastern European Goldfinch","Carduelis carduelis subulata","Eastern European Goldfinch",NA,2091," common name match:  European Greenfinch 0.8 Chloris chloris ; scientific name match:  Carduelis carduelis 0.89 ;"
"Malurus splendens musgravi","Turquoise Fairywren","Malurus splendens musgravi","Turquoise Fairywren",NA,2181," common name match:  Turquoise Jay 0.85 Cyanolyca turcosa ; scientific name match:  Malurus splendens 0.88 ;"
"Zosterops lateralis gouldi","Western Silvereye","Zosterops lateralis gouldi","Western Silvereye",NA,2416," common name match:  Western Fire-eye 0.88 Pyriglena maura ; scientific name match:  Zosterops lateralis 0.91 ;"
"Empidonax occidentalis","Cordilleran Flycatcher","Empidonax occidentalis","Cordilleran Flycatcher",NA,2452," common name match:  Cordilleran Canastero 0.86 Asthenes modesta ; scientific name match:  Empidonax flaviventris 0.82 ;"
"Sturnella magna / neglecta","Meadowlark","Sturnella magna / neglecta","Meadowlark",NA,2457," common name match:  Masked Lark 0.8 Spizocorys personata ; scientific name match:  Sturnella neglecta/magna 0.89 ;"
"Gallus gallus domesticus","Domestic Chicken","Gallus gallus domesticus","Domestic Chicken",NA,2573," common name match:  Mexican Chickadee 0.78 Poecile sclateri ; scientific name match:  Gallus gallus (Domestic type) 0.89 ;"
"Accipiter gentilis laingi","Northern Goshawk","Accipiter gentilis laingi","Northern Goshawk",NA,2607," common name match:  Northern Shrike 0.85 Lanius borealis ; scientific name match:  Accipiter nisus granti 0.8 ;"
"Gallus domesticus","Chicken","Gallus domesticus","Chicken",NA,2620," common name match:  Cricket Longtail 0.74 Spiloptila clamans ; scientific name match:  Gallirallus modestus 0.81 ;"
"Lanius schach erythronotus/tricolor","Black-Headed Shrike","Lanius schach erythronotus/tricolor","Black-Headed Shrike",NA,2722," common name match:  Black-headed Shrike-Babbler 0.9 Pteruthius rufiventer ; scientific name match:  Lanius schach erythronotus 0.91 ;"
"Accipiter getilis","Northern Goshawk","Accipiter getilis","Northern Goshawk",NA,2976," common name match:  Northern Shrike 0.85 Lanius borealis ; scientific name match:  Accipiter poliogaster 0.84 ;"
"Gallus gallus domesticus","Domestic Fowl","Gallus gallus domesticus","Domestic Fowl",NA,3024," common name match:  Desert Owl 0.81 Strix hadorami ; scientific name match:  Gallus gallus (Domestic type) 0.89 ;"
"Bulbucus ibis","Cattle Egret","Bulbucus ibis","Cattle Egret",NA,3073," common name match:  Little Egret 0.86 Egretta garzetta ; scientific name match:  Caprimulgus nubicus 0.75 ;"
"Carduelis flammea","Common Redpoll","Carduelis flammea","Common Redpoll",NA,3104," common name match:  Common Poorwill 0.84 Phalaenoptilus nuttallii ; scientific name match:  Thripadectes flammulatus 0.81 ;"
"Spizella arborea","American Tree Swallow","Spizella arborea","American Tree Swallow",NA,3127," common name match:  American Tree Sparrow 0.88 Spizelloides arborea ; scientific name match:  Spizella atrogularis 0.83 ;"
"Gallus domesticus","Domesticated Chicken","Gallus domesticus","Domesticated Chicken",NA,3200," common name match:  Mexican Chickadee 0.75 Poecile sclateri ; scientific name match:  Gallirallus modestus 0.81 ;"
"Cyanoderma ambiguum","Buff-Chested Babbler","Cyanoderma ambiguum","Buff-Chested Babbler",NA,3231," common name match:  Gray-chested Babbler 0.87 Kakamega poliothorax ; scientific name match:  Cyanoderma sp. 0.84 ;"
"Terpsiphone affinis floris","Lesser Sundas Blyth's Paradise Flycatcher","Terpsiphone affinis floris","Lesser Sundas Blyth's Paradise Flycatcher",NA,3239," common name match:  Amur/Blyth's/Indian Paradise-Flycatcher 0.75 Terpsiphone incei/affinis/paradisi ; scientific name match:  Terpsiphone affinis affinis 0.91 ;"
"Lamprotornis nitens culminator","Red-Shouldered Glossy-Starling","Lamprotornis nitens culminator","Red-Shouldered Glossy-Starling",NA,3321," common name match:  Red-shouldered Tanager 0.82 Tachyphonus phoenicius ; scientific name match:  Lamprotornis nitens 0.88 ;"
"Dendroica nigrescens","Gray Warbler","Dendroica nigrescens","Gray Warbler",NA,3496," common name match:  Gray Warbler-Finch 0.89 Certhidea fusca ; scientific name match:  Dendrocitta cinerascens 0.87 ;"
"Saltator straitipectus / albicollis","Unid. Streaked Saltator / Lesser Antillean Saltator","Saltator straitipectus / albicollis","Unid. Streaked Saltator / Lesser Antillean Saltator",NA,3828," common name match:  Mediterranean/Turkestan Short-toed Lark 0.7 Alaudala rufescens/heinei ; scientific name match:  Saltator striatipectus flavidicollis 0.89 ;"
"Buteo polyosoma","Red-Backed Hawk","Buteo polyosoma","Red-Backed Hawk",NA,3961," common name match:  Red-backed Shrike 0.88 Lanius collurio ; scientific name match:  Buteo lagopus 0.78 ;"
"Setophaga striata / tigrina","Unid. Blackpoll Warbler / Cape May Warbler","Setophaga striata / tigrina","Unid. Blackpoll Warbler / Cape May Warbler",NA,3965," common name match:  Blackpoll Warbler 0.71 Setophaga striata ; scientific name match:  Setophaga striata 0.88 ;"
"Anas flavirostris / anas andium","Speckled Teal","Anas flavirostris / anas andium","Speckled Teal",NA,4233," common name match:  Speckled Rail 0.9 Laterallus notatus ; scientific name match:  Anas flavirostris 0.85 ;"
"Columbina livia","Rock Dove","Columbina livia","Rock Dove",NA,4283," common name match:  Stock Dove 0.9 Columba oenas ; scientific name match:  Columbina inca 0.89 ;"
"Psilorhinus morio","Smoky Jay","Psilorhinus morio","Smoky Jay",NA,4501," common name match:  Smoky Warbler 0.77 Phylloscopus fuligiventer ; scientific name match:  Pomatorhinus horsfieldii 0.81 ;"
"unid. Accipiter hawl","Accipiter Sp.","unid. Accipiter hawl","Accipiter Sp.",NA,4503," common name match:  Accentors 0.72 Prunellidae ; scientific name match:  Yuhina occipitalis 0.74 ;"
